Indicador;Tipo_agrupacion;Cluster;Media
pib_2015;Poblacion;0;125964.3
pib_2015;Poblacion;1;440762.0
pib_2015;Poblacion;2;19738.42
pib_2015;Poblacion;3;287148.43
pib_2015;Densidad;0;29377.51
pib_2015;Densidad;1;358861.14
pib_2015;Densidad;2;310719.23
pib_2015;Densidad;3;160702.94
pib_2015;Distancia;0;15556.43
pib_2015;Distancia;1;78257.16
pib_2015;Distancia;2;46538.05
pib_2015;Distancia;3;239789.63
pib_2015;Zona_Estadistica;Este Metropolitano;108447.67
pib_2015;Zona_Estadistica;Municipio de Madrid;23842.0
pib_2015;Zona_Estadistica;Nordeste Comunidad;116706.22
pib_2015;Zona_Estadistica;Norte Metropolitano;124767.86
pib_2015;Zona_Estadistica;Oeste Metropolitano;161176.67
pib_2015;Zona_Estadistica;Sierra Central;122641.8
pib_2015;Zona_Estadistica;Sierra Norte;96020.93
pib_2015;Zona_Estadistica;Sierra Sur;59949.08
pib_2015;Zona_Estadistica;Sudeste Comunidad;81838.81
pib_2015;Zona_Estadistica;Sudoeste Comunidad;71776.14
pib_2015;Zona_Estadistica;Sur Metropolitano;74451.18
pib_2016;Poblacion;0;131358.08
pib_2016;Poblacion;1;479144.33
pib_2016;Poblacion;2;19983.69
pib_2016;Poblacion;3;300931.86
pib_2016;Densidad;0;30063.71
pib_2016;Densidad;1;385268.43
pib_2016;Densidad;2;330513.31
pib_2016;Densidad;3;168733.24
pib_2016;Distancia;0;15771.57
pib_2016;Distancia;1;80373.82
pib_2016;Distancia;2;47776.27
pib_2016;Distancia;3;256368.66
pib_2016;Zona_Estadistica;Este Metropolitano;112301.56
pib_2016;Zona_Estadistica;Municipio de Madrid;23390.0
pib_2016;Zona_Estadistica;Nordeste Comunidad;127797.56
pib_2016;Zona_Estadistica;Norte Metropolitano;128969.43
pib_2016;Zona_Estadistica;Oeste Metropolitano;174034.67
pib_2016;Zona_Estadistica;Sierra Central;130405.0
pib_2016;Zona_Estadistica;Sierra Norte;98993.41
pib_2016;Zona_Estadistica;Sierra Sur;61766.17
pib_2016;Zona_Estadistica;Sudeste Comunidad;86457.65
pib_2016;Zona_Estadistica;Sudoeste Comunidad;76174.36
pib_2016;Zona_Estadistica;Sur Metropolitano;79496.82
pib_2017;Poblacion;0;136901.58
pib_2017;Poblacion;1;495435.78
pib_2017;Poblacion;2;20786.73
pib_2017;Poblacion;3;317932.86
pib_2017;Densidad;0;31116.65
pib_2017;Densidad;1;410714.57
pib_2017;Densidad;2;345689.62
pib_2017;Densidad;3;174723.88
pib_2017;Distancia;0;15812.54
pib_2017;Distancia;1;83044.23
pib_2017;Distancia;2;49493.05
pib_2017;Distancia;3;269447.61
pib_2017;Zona_Estadistica;Este Metropolitano;114988.33
pib_2017;Zona_Estadistica;Municipio de Madrid;25711.0
pib_2017;Zona_Estadistica;Nordeste Comunidad;130094.67
pib_2017;Zona_Estadistica;Norte Metropolitano;141106.86
pib_2017;Zona_Estadistica;Oeste Metropolitano;175648.44
pib_2017;Zona_Estadistica;Sierra Central;139316.13
pib_2017;Zona_Estadistica;Sierra Norte;103939.51
pib_2017;Zona_Estadistica;Sierra Sur;62394.67
pib_2017;Zona_Estadistica;Sudeste Comunidad;90655.62
pib_2017;Zona_Estadistica;Sudoeste Comunidad;79505.21
pib_2017;Zona_Estadistica;Sur Metropolitano;82498.0
pib_2018;Poblacion;0;139664.02
pib_2018;Poblacion;1;516785.22
pib_2018;Poblacion;2;21435.21
pib_2018;Poblacion;3;330693.21
pib_2018;Densidad;0;31735.2
pib_2018;Densidad;1;427271.0
pib_2018;Densidad;2;362782.69
pib_2018;Densidad;3;178957.88
pib_2018;Distancia;0;16075.69
pib_2018;Distancia;1;86450.73
pib_2018;Distancia;2;50614.86
pib_2018;Distancia;3;278387.0
pib_2018;Zona_Estadistica;Este Metropolitano;116657.22
