;Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
0;ES_28001_2700_2015;Acebeda (La);3340.0;2015;2700;ES_28001
1;ES_28002_2700_2015;Ajalvir;272693.0;2015;2700;ES_28002
2;ES_28003_2700_2015;Alameda del Valle;4361.0;2015;2700;ES_28003
3;ES_28004_2700_2015;Alamo (El);129096.0;2015;2700;ES_28004
4;ES_28008_2700_2015;Aldea del Fresno;36691.0;2015;2700;ES_28008
5;ES_28009_2700_2015;Algete;522727.0;2015;2700;ES_28009
6;ES_28010_2700_2015;Alpedrete;173849.0;2015;2700;ES_28010
7;ES_28011_2700_2015;Ambite;8159.0;2015;2700;ES_28011
8;ES_28012_2700_2015;Anchuelo;14822.0;2015;2700;ES_28012
9;ES_28015_2700_2015;Arroyomolinos;442332.0;2015;2700;ES_28015
10;ES_28016_2700_2015;Atazar (El);2586.0;2015;2700;ES_28016
11;ES_28017_2700_2015;Batres;16464.0;2015;2700;ES_28017
12;ES_28018_2700_2015;Becerril de la Sierra;72523.0;2015;2700;ES_28018
13;ES_28019_2700_2015;Belmonte de Tajo;21351.0;2015;2700;ES_28019
14;ES_28021_2700_2015;Berrueco (El);17016.0;2015;2700;ES_28021
15;ES_28020_2700_2015;Berzosa del Lozoya;4619.0;2015;2700;ES_28020
16;ES_28023_2700_2015;Boalo (El);90669.0;2015;2700;ES_28023
17;ES_28024_2700_2015;Braojos;13907.0;2015;2700;ES_28024
18;ES_28025_2700_2015;Brea de Tajo;11464.0;2015;2700;ES_28025
19;ES_28026_2700_2015;Brunete;144352.0;2015;2700;ES_28026
20;ES_28027_2700_2015;Buitrago del Lozoya;43950.0;2015;2700;ES_28027
21;ES_28028_2700_2015;Bustarviejo;35396.0;2015;2700;ES_28028
22;ES_28029_2700_2015;Cabanillas de la Sierra;11146.0;2015;2700;ES_28029
23;ES_28030_2700_2015;Cabrera (La);40245.0;2015;2700;ES_28030
24;ES_28031_2700_2015;Cadalso de los Vidrios;56862.0;2015;2700;ES_28031
25;ES_28032_2700_2015;Camarma de Esteruelas;150972.0;2015;2700;ES_28032
26;ES_28033_2700_2015;Campo Real;130881.0;2015;2700;ES_28033
27;ES_28034_2700_2015;Canencia;7447.0;2015;2700;ES_28034
28;ES_28035_2700_2015;Carabaña;22536.0;2015;2700;ES_28035
29;ES_28036_2700_2015;Casarrubuelos;48012.0;2015;2700;ES_28036
30;ES_28037_2700_2015;Cenicientos;29388.0;2015;2700;ES_28037
31;ES_28038_2700_2015;Cercedilla;133286.0;2015;2700;ES_28038
32;ES_28039_2700_2015;Cervera de Buitrago;2816.0;2015;2700;ES_28039
33;ES_28051_2700_2015;Chapinería;27671.0;2015;2700;ES_28051
34;ES_28052_2700_2015;Chinchón;90002.0;2015;2700;ES_28052
35;ES_28040_2700_2015;Ciempozuelos;580263.0;2015;2700;ES_28040
36;ES_28041_2700_2015;Cobeña;105574.0;2015;2700;ES_28041
37;ES_28046_2700_2015;Collado Mediano;90072.0;2015;2700;ES_28046
38;ES_28043_2700_2015;Colmenar de Oreja;121511.0;2015;2700;ES_28043
39;ES_28042_2700_2015;Colmenar del Arroyo;37498.0;2015;2700;ES_28042
40;ES_28044_2700_2015;Colmenarejo;163695.0;2015;2700;ES_28044
41;ES_28048_2700_2015;Corpa;5972.0;2015;2700;ES_28048
42;ES_28050_2700_2015;Cubas de la Sagra;71548.0;2015;2700;ES_28050
43;ES_28053_2700_2015;Daganzo de Arriba;296746.0;2015;2700;ES_28053
44;ES_28054_2700_2015;Escorial (El);225041.0;2015;2700;ES_28054
45;ES_28055_2700_2015;Estremera;55364.0;2015;2700;ES_28055
46;ES_28056_2700_2015;Fresnedillas de la Oliva;15734.0;2015;2700;ES_28056
47;ES_28057_2700_2015;Fresno de Torote;19231.0;2015;2700;ES_28057
48;ES_28059_2700_2015;Fuente el Saz de Jarama;141765.0;2015;2700;ES_28059
49;ES_28060_2700_2015;Fuentidueña de Tajo;28540.0;2015;2700;ES_28060
50;ES_28061_2700_2015;Galapagar;373096.0;2015;2700;ES_28061
51;ES_28062_2700_2015;Garganta de los Montes;10099.0;2015;2700;ES_28062
52;ES_28063_2700_2015;Gargantilla del Lozoya y Pinilla de Buitrago;8484.0;2015;2700;ES_28063
53;ES_28064_2700_2015;Gascones;4862.0;2015;2700;ES_28064
54;ES_28066_2700_2015;Griñón;286935.0;2015;2700;ES_28066
55;ES_28067_2700_2015;Guadalix de la Sierra;84334.0;2015;2700;ES_28067
56;ES_28068_2700_2015;Guadarrama;216182.0;2015;2700;ES_28068
57;ES_28069_2700_2015;Hiruela (La);2821.0;2015;2700;ES_28069
58;ES_28070_2700_2015;Horcajo de la Sierra-Aoslos;6462.0;2015;2700;ES_28070
59;ES_28071_2700_2015;Horcajuelo de la Sierra;4077.0;2015;2700;ES_28071
60;ES_28072_2700_2015;Hoyo de Manzanares;110104.0;2015;2700;ES_28072
61;ES_28073_2700_2015;Humanes de Madrid;679960.0;2015;2700;ES_28073
62;ES_28075_2700_2015;Loeches;270606.0;2015;2700;ES_28075
63;ES_28076_2700_2015;Lozoya;11180.0;2015;2700;ES_28076
64;ES_28901_2700_2015;Lozoyuela-Navas-Sieteiglesias;30790.0;2015;2700;ES_28901
65;ES_28078_2700_2015;Madarcos;2422.0;2015;2700;ES_28078
66;ES_28082_2700_2015;Manzanares el Real;95501.0;2015;2700;ES_28082
67;ES_28083_2700_2015;Meco;372855.0;2015;2700;ES_28083
68;ES_28084_2700_2015;Mejorada del Campo;427708.0;2015;2700;ES_28084
69;ES_28085_2700_2015;Miraflores de la Sierra;94872.0;2015;2700;ES_28085
70;ES_28086_2700_2015;Molar (El);100817.0;2015;2700;ES_28086
71;ES_28087_2700_2015;Molinos (Los);53353.0;2015;2700;ES_28087
72;ES_28088_2700_2015;Montejo de la Sierra;12650.0;2015;2700;ES_28088
73;ES_28089_2700_2015;Moraleja de Enmedio;134789.0;2015;2700;ES_28089
74;ES_28090_2700_2015;Moralzarzal;157755.0;2015;2700;ES_28090
75;ES_28091_2700_2015;Morata de Tajuña;122697.0;2015;2700;ES_28091
76;ES_28093_2700_2015;Navacerrada;47651.0;2015;2700;ES_28093
77;ES_28094_2700_2015;Navalafuente;12431.0;2015;2700;ES_28094
78;ES_28095_2700_2015;Navalagamella;23842.0;2015;2700;ES_28095
79;ES_28096_2700_2015;Navalcarnero;470369.0;2015;2700;ES_28096
80;ES_28097_2700_2015;Navarredonda y San Mamés;4321.0;2015;2700;ES_28097
81;ES_28099_2700_2015;Navas del Rey;37686.0;2015;2700;ES_28099
82;ES_28100_2700_2015;Nuevo Baztán;79125.0;2015;2700;ES_28100
83;ES_28101_2700_2015;Olmeda de las Fuentes;8517.0;2015;2700;ES_28101
84;ES_28102_2700_2015;Orusco de Tajuña;19141.0;2015;2700;ES_28102
85;ES_28104_2700_2015;Paracuellos de Jarama;379125.0;2015;2700;ES_28104
86;ES_28107_2700_2015;Patones;10369.0;2015;2700;ES_28107
87;ES_28108_2700_2015;Pedrezuela;61827.0;2015;2700;ES_28108
88;ES_28109_2700_2015;Pelayos de la Presa;33930.0;2015;2700;ES_28109
89;ES_28110_2700_2015;Perales de Tajuña;39271.0;2015;2700;ES_28110
90;ES_28111_2700_2015;Pezuela de las Torres;13000.0;2015;2700;ES_28111
91;ES_28112_2700_2015;Pinilla del Valle;3544.0;2015;2700;ES_28112
92;ES_28114_2700_2015;Piñuécar-Gandullas;4133.0;2015;2700;ES_28114
